category,image,name,description
stand-alone equipment,assets/images/product/shrink-wrapping-machine.jpg,Shrink Wrapping Machine,Complete shrink wrapping system for end-of-line packaging.
stand-alone equipment,assets/images/product/packaging-machine.jpg,Packaging Machine,"Automates the sealing of products into bags, boxes, or pouches for distribution"
stand-alone equipment,assets/images/product/labeling-machine.jpg,Labeling Machine,"High-speed equipment designed to accurately apply adhesive labels, branding decals, or barcodes onto products and containers."
stand-alone equipment,assets/images/product/blow-molding-machine.jpg,Blow Molding Machine,Inflates heated plastic tubes (parisons) inside a precision mold to mass-produce hollow plastic objects like bottles and jugs.
spare-parts,assets/images/product/bonfiglioli-motors.jpg,Bonfiglioli Motors,High-efficiency electric motors for beverage machinery
spare-parts,assets/images/product/mccb-vl160x-tp-160a.jpg,MCCB VL160X TP 160A,Molded Case Circuit Breaker for industrial applications
spare-parts,assets/images/product/nadl8-ax-a-fan-without-vfd-w.jpg,NADL8 AX/A Fan Without VFD W,Industrial cooling fan component
spare-parts,assets/images/product/shunt-trip-240v.jpg,Shunt Trip 240V,Electrical shunt trip mechanism
spare-parts,assets/images/product/socket.jpg,Socket,Industrial electrical socket connector
spare-parts,assets/images/product/thermocouple.jpg,Thermocouple,Precision temperature measurement sensor
spare-parts,assets/images/product/clamping-element-kosme-blowing-part.jpg,Clamping Element (Kosme Blowing Part),Precision clamping element for Kosme blow molders
spare-parts,assets/images/product/heating-block.jpg,Heating Block,Efficient thermal heating block for preform ovens
spare-parts,assets/images/product/heating-plate.jpg,Heating Plate,Durable heating plate for blow molding stations
spare-parts,assets/images/product/ir-lamp-heater-both-side-do100470.jpg,IR Lamp Heater Both Side DO100470,Infrared heating lamp for optimal preform conditioning
spare-parts,assets/images/product/lip-seal-blowing-mould.jpg,Lip Seal (Blowing Mould),High-pressure lip seal for blow molds
spare-parts,assets/images/product/oven-heater-chain-guide-nylon.jpg,Oven Heater Chain Guide (Nylon),Low-friction nylon chain guide for heating ovens
spare-parts,assets/images/product/oven-water-rail.jpg,Oven Water Rail,Cooling water rail component for oven modules
spare-parts,assets/images/product/preform-hopper-belt-guide-left.jpg,Preform Hopper Belt Guide Left,Left-side alignment guide for preform hoppers
spare-parts,assets/images/product/preform-hopper-belt-guide-right.jpg,Preform Hopper Belt Guide Right,Right-side alignment guide for preform hoppers
spare-parts,assets/images/product/cutting-knife.jpg,Cutting Knife,Precision replacement cutting knife for labeling stations
spare-parts,assets/images/product/roller.jpg,Roller,Heavy-duty replacement roller for conveyor systems
spare-parts,assets/images/product/ball-bush.jpg,Ball Bush,High-quality linear motion ball bush
spare-parts,assets/images/product/bolt.jpg,Bolt,Industrial grade stainless steel bolt
spare-parts,assets/images/product/bonfiglioli-gearbox.jpg,Bonfiglioli Gearbox,Durable power transmission gearbox
spare-parts,assets/images/product/bush.jpg,Bush,Wear-resistant mechanical bush
spare-parts,assets/images/product/cp-spring-389a-020-6-filling-valve-assly.jpg,CP Spring 389A-020/6 (Filling Valve Assly),Replacement compression spring for filling valves
spare-parts,assets/images/product/diaphragm.jpg,Diaphragm,Flexible diaphragm seal for fluid handling
spare-parts,assets/images/product/floating-pin.jpg,Floating Pin,Precision engineered floating pin mechanism
spare-parts,assets/images/product/linear-ball-bearings.jpg,Linear Ball Bearings,Smooth motion linear ball bearings
spare-parts,assets/images/product/locking-device.jpg,Locking Device,Secure mechanical locking assembly
spare-parts,assets/images/product/neugart-gear-box-wplqe-60-ratio-15.jpg,Neugart Gear Box WPLQE 60 Ratio 15,Precision planetary gear box
spare-parts,assets/images/product/norgren-valve.jpg,Norgren Valve,Reliable pneumatic directional control valve
spare-parts,assets/images/product/o-ring.jpg,O-Ring,Industrial sealing O-ring available in various sizes
spare-parts,assets/images/product/ring.jpg,Ring,Standard retaining/spacer ring
spare-parts,assets/images/product/rubber-washer-389a-022-5-lift-cylinder-assly.jpg,Rubber Washer 389A-022/5 (Lift Cylinder Assly),Replacement rubber washer for lift cylinders
spare-parts,assets/images/product/segment.jpg,Segment,Machined segment component
spare-parts,assets/images/product/shock-absorber.jpg,Shock Absorber,Industrial shock absorber for motion dampening
spare-parts,assets/images/product/shut-off-coupling.jpg,Shut Off Coupling,Quick-release shut off coupling
spare-parts,assets/images/product/slotted-nut-m20x1-st.jpg,Slotted Nut M20x1 ST,Standard M20x1 slotted retaining nut
spare-parts,assets/images/product/support-pliers-insert-kurz-linksdrehe.jpg,Support Pliers Insert (Kurz Linksdrehe),Short left-turning insert for support pliers
spare-parts,assets/images/product/support-pliers-insert-lang-linksdrehe.jpg,Support Pliers Insert (Lang Linksdrehe),Long left-turning insert for support pliers
spare-parts,assets/images/product/support-pliers-insert-links.jpg,Support Pliers Insert (Links),Left-side insert for support pliers
spare-parts,assets/images/product/teflon-washer-3mm-lift-cylinder-brass-bush.jpg,Teflon Washer 3mm (Lift Cylinder Brass Bush),3mm thick teflon washer for brass bushes
spare-parts,assets/images/product/teflon-washer-4mm-lift-cylinder-brass-bush.jpg,Teflon Washer 4mm (Lift Cylinder Brass Bush),4mm thick teflon washer for brass bushes
spare-parts,assets/images/product/tension-spring.jpg,Tension Spring,High-tensile replacement spring
spare-parts,assets/images/product/u-seal-air-seal-389a-022-25-lift-cylinder-assly.jpg,U-Seal Air Seal 389A-022/25 (Lift Cylinder Assly),Pneumatic U-seal for lift cylinders
spare-parts,assets/images/product/u-seal-cip-stuffing-box-assly-389a-018-4.jpg,U-Seal CIP Stuffing Box Assly 389A-018/4,U-seal for CIP stuffing box assemblies
spare-parts,assets/images/product/water-manifold.jpg,Water Manifold,Fluid distribution water manifold block
